task,domain,direct_mean,direct_sd,nocons_mean,nocons_sd,nosleep_mean,nosleep_sd
1,wiki_general,0.019138586960296577,0.17036944794255052,0.011499646141184715,0.1651120699288267,0.0255006243103282,0.1709932200045771
2,synthetic_qa,-0.037076361614643484,0.10075722253079493,-0.006531991198370227,0.10131965064651334,0.023131402578938705,0.11064126581781554
3,physics,0.04279911422705062,0.07127961980250518,0.04494645274362333,0.0713529176401635,0.05764076140969068,0.07091104305142752
4,math,0.07503067475036994,0.12537815501241512,0.07321417918052814,0.12392497074280544,0.09798275779846277,0.12852359953036233
5,computer,-0.07377392042199891,0.07798985919286731,-0.06924947243254052,0.08370748918095613,-0.05521235291550862,0.07936673799611159
6,biology,-0.01554307307654432,0.0809922843674037,-0.018596521270842166,0.08179174384116938,-0.001462427103954854,0.08358233051308354
7,economics,-0.05086879257680987,0.09912111538516123,-0.05213589087449404,0.09859070581921729,-0.037128457039466475,0.09772604380493183
8,law,-0.015769692441609688,0.10560615636426487,-0.01950263577886982,0.10467610524630655,-0.005917594550951057,0.1056334339542452
9,history,0.00023298499083054813,0.11296386741386205,-0.007800002707510341,0.1114208919821771,0.008528297374397897,0.11152417881447035
10,literature,-0.04010081454620329,0.07495037429208021,-0.0434788240732214,0.0725861000757678,-0.034388997122263384,0.07548718231365129
