fast_decay,lambda,variant,seed,pre,final_ppl,gain40,drop,w_fast_norm,abs_mean,abs_std,abs_max,cv,top1pct_mass,top5pct_mass,top10pct_mass,normalized_entropy,gini,hhi,ts_cos_stage1,ts_cos_stage2,ts_horizon,horizon_steps,horizon_censored,cos_lag1
0.02,0.5,direct,0,59.526586187583234,47.101543440383004,0.20873098128029377,12.42504274720023,11.224438667297363,0.0007491526775993407,0.000707055616658181,0.00360107421875,0.9438071250915527,0.04344741627573967,0.19026640057563782,0.3266996741294861,0.9790037870407104,0.4829362630844116,1.5209097981028208e-08,0.5986836552619934,0.7450735569000244,1.5544703687217793,60.0,True,0.8923828125
0.02,0.5,direct,1,43.010953707315466,39.60000296425017,0.0793042341324588,3.4109507430652926,11.024879455566406,0.0007364985649473965,0.0006947196670807898,0.0036163330078125,0.9432736039161682,0.043919336050748825,0.19091667234897614,0.3258076012134552,0.979007363319397,0.48273301124572754,1.520100134655422e-08,0.592448353767395,0.7410491108894348,1.5557184250666278,60.0,True,0.8884765625
0.02,0.5,direct,2,53.649082809318834,53.99191223354423,-0.006390219669623937,-0.34282942422539264,11.014973640441895,0.0007393103442154825,0.0006902787135913968,0.00360107421875,0.9336792230606079,0.04350777342915535,0.18887974321842194,0.3228070139884949,0.9793346524238586,0.47921109199523926,1.505614655172849e-08,0.5904978513717651,0.7315420508384705,1.5533433972873671,60.0,True,0.889453125
0.02,0.5,direct,3,66.07149191936799,47.77224518181631,0.276961306699168,18.299246737551677,10.97790241241455,0.0007342124590650201,0.0006912675453349948,0.003570556640625,0.9415088891983032,0.043774835765361786,0.19045129418373108,0.32550421357154846,0.9790757298469543,0.4819815158843994,1.5174245859839175e-08,0.5889505743980408,0.7392359375953674,1.5565753988013968,60.0,True,0.89189453125
0.02,0.5,nocons,0,56.107385687939,47.77352370294361,0.1485341347277718,8.333861984995387,10.93088150024414,0.0007321690209209919,0.0006869769422337413,0.0035858154296875,0.9382764101028442,0.04381662234663963,0.19025465846061707,0.3241014778614044,0.97916579246521,0.4808492660522461,1.5125369401403077e-08,0.6547315120697021,0.7698317766189575,1.5403984384067653,60.0,True,0.89970703125
0.02,0.5,nocons,1,44.19498638488309,39.98185474183781,0.09533053379300017,4.21313164304528,10.845146179199219,0.0007273951196111739,0.0006806247984059155,0.003570556640625,0.9357016086578369,0.04380085691809654,0.18972669541835785,0.3224760890007019,0.9791892170906067,0.48061907291412354,1.508655600446218e-08,0.628803551197052,0.7554178833961487,1.5457348546391736,60.0,True,0.89775390625
0.02,0.5,nocons,2,55.749110042938675,55.54892960930658,0.003590737744116634,0.2001804336320916,10.785337448120117,0.0007237251265905797,0.000677129253745079,0.0035858154296875,0.9356166124343872,0.04398985952138901,0.18986478447914124,0.3225806653499603,0.9792307019233704,0.48016130924224854,1.5085278803894653e-08,0.6345616579055786,0.7579497694969177,1.5443041648216487,60.0,True,0.899609375
0.02,0.5,nocons,3,66.2653919652227,49.18119471405441,0.2578147769824465,17.08419725116829,10.78848934173584,0.0007245649467222393,0.0006766146398149431,0.003570556640625,0.9338219165802002,0.043720196932554245,0.18932472169399261,0.32229170203208923,0.9792782664299011,0.47960054874420166,1.5058288838076805e-08,0.641725480556488,0.7619845271110535,1.542836143468975,60.0,True,0.9015625
0.02,0.5,shufwrite,0,56.78524271841218,47.83466211122859,0.1576215963638284,8.95058060718359,10.966289520263672,0.0007345484336838126,0.000688949367031455,0.0035858154296875,0.9379222989082336,0.04372503235936165,0.19007162749767303,0.32405558228492737,0.9791741967201233,0.48078715801239014,1.512002612003016e-08,0.6548928022384644,0.7700338959693909,1.5404024620619925,60.0,True,0.8998046875
0.02,0.5,shufwrite,1,44.83263951471352,40.354739402868574,0.09988035860291818,4.477900111844946,10.884560585021973,0.0007296761032193899,0.0006832535727880895,0.003570556640625,0.9363792538642883,0.043760284781455994,0.18979138135910034,0.32277822494506836,0.9791663885116577,0.4808884859085083,1.5096761174504536e-08,0.6286875009536743,0.7560074925422668,1.5459740203390018,60.0,True,0.89765625
0.02,0.5,shufwrite,2,55.64663288514618,55.61351788284459,0.000595094448390815,0.033115002301592256,10.80225944519043,0.0007247976027429104,0.0006781006813980639,0.00360107421875,0.9355724453926086,0.043977413326501846,0.1898544281721115,0.3225821256637573,0.979231595993042,0.4801468849182129,1.5084610893723038e-08,0.6350406408309937,0.7581587433815002,1.5441853850732568,60.0,True,0.8994140625
0.02,0.5,shufwrite,3,66.76258293693287,49.2338684100323,0.2625529713770816,17.528714526900572,10.809396743774414,0.0007254572119563818,0.0006783628487028182,0.0035858154296875,0.9350832104682922,0.04378312826156616,0.18961603939533234,0.322735458612442,0.9792405366897583,0.47999799251556396,1.5077249670980564e-08,0.6425803899765015,0.7629488110542297,1.5428196087955544,60.0,True,0.9013671875
0.02,0.75,direct,0,65.38721174074672,47.62322626937091,0.27167369579556483,17.76398547137581,19.63814353942871,0.001294519635848701,0.0012786329025402665,0.0064697265625,0.987727701663971,0.04565542936325073,0.1994258016347885,0.34191960096359253,0.9776793718338013,0.4965399503707886,1.5891490789954332e-08,0.6489958763122559,0.8165487051010132,1.5571640163369105,60.0,True,0.92734375
0.02,0.75,direct,1,46.30307696378067,39.81969727387086,0.14002049356204252,6.48337968990981,19.390296936035156,0.0012803077697753906,0.0012617355678230524,0.0064697265625,0.9854939579963684,0.046017713844776154,0.19986654818058014,0.34084996581077576,0.9777711629867554,0.4954102039337158,1.5856036483796743e-08,0.6441444754600525,0.8142568469047546,1.5583215226275522,60.0,True,0.92451171875
0.02,0.75,direct,2,58.422068885565366,53.00338655287797,0.09275060668086367,5.418682332687396,19.309934616088867,0.0012804643483832479,0.0012514404952526093,0.0064697265625,0.9773333668708801,0.045792825520038605,0.19839847087860107,0.33816128969192505,0.9780581593513489,0.4924190044403076,1.5727195545878203e-08,0.6420701742172241,0.8049549460411072,1.556282634469678,60.0,True,0.92470703125
0.02,0.75,direct,3,70.07953482466881,47.664198707313965,0.3198556636175671,22.415336117354848,19.255901336669922,0.001275793882086873,0.001249837689101696,0.0064697265625,0.979654848575592,0.045828986912965775,0.19890853762626648,0.33915218710899353,0.9779877066612244,0.493069052696228,1.5763738758778345e-08,0.6394191384315491,0.8116899728775024,1.5593583325689917,60.0,True,0.92578125
0.02,0.75,nocons,0,57.60197867439768,47.83309399450847,0.16959286650739974,9.768884679889211,19.11691665649414,0.0012627069372683764,0.001245473395101726,0.0064697265625,0.9863519072532654,0.04627266153693199,0.20060153305530548,0.34101733565330505,0.9777494668960571,0.4954594373703003,1.5869645153543388e-08,0.6840214729309082,0.8306424021720886,1.5484004839790644,60.0,True,0.932421875
0.02,0.75,nocons,1,42.65868170360277,39.36955358404691,0.0771033700105662,3.289128119555855,18.836265563964844,0.0012449685018509626,0.0012278081849217415,0.0064697265625,0.9862162470817566,0.04676176980137825,0.20144666731357574,0.3403673470020294,0.9777565598487854,0.4951765537261963,1.5867492209054035e-08,0.6777803897857666,0.8277226090431213,1.5497980473549349,60.0,True,0.928515625
0.02,0.75,nocons,2,53.541239027194486,55.141617646347406,-0.029890578705884286,-1.6003786191529201,18.744422912597656,0.0012434337986633182,0.0012178231263533235,0.0064697265625,0.9794032573699951,0.04653260111808777,0.20005950331687927,0.33817780017852783,0.9779936671257019,0.49274778366088867,1.5759773930312804e-08,0.6794723272323608,0.8237879276275635,1.5480008700850838,60.0,True,0.93017578125
0.02,0.75,nocons,3,65.70041253761656,48.49373235613226,0.26189607518267355,17.206680181484295,18.786149978637695,0.0012426688335835934,0.0012244044337421656,0.0064697265625,0.9853022694587708,0.04655156284570694,0.20094849169254303,0.3402889668941498,0.9777836799621582,0.4949697256088257,1.585299713724453e-08,0.6775354743003845,0.8278798460960388,1.5499345163287113,60.0,True,0.93076171875
0.02,0.75,shufwrite,0,58.477978394500305,47.28491567395133,0.19140645808647944,11.193062720548973,19.17422866821289,0.0012664645910263062,0.001248729880899191,0.0064697265625,0.985996663570404,0.04618055745959282,0.20039060711860657,0.3409392237663269,0.9777550101280212,0.4954380989074707,1.586401054964881e-08,0.6838861107826233,0.8301060795783997,1.5482895386537328,60.0,True,0.93203125
0.02,0.75,shufwrite,1,43.155730431505084,39.64188107438582,0.08142254393530178,3.5138493571192626,18.867856979370117,0.0012459667632356286,0.0012308855075389147,0.0064697265625,0.9878959655761719,0.046797484159469604,0.20175935328006744,0.34098657965660095,0.9777028560638428,0.49572718143463135,1.589416598335447e-08,0.6778144240379333,0.828234851360321,1.5499387469518922,60.0,True,0.9291015625
0.02,0.75,shufwrite,2,54.11087397813772,54.671883712455376,-0.01036778179824486,-0.5610097343176577,18.77790069580078,0.0012452156515792012,0.0012201548088341951,0.0064697265625,0.979874312877655,0.04652859643101692,0.20012953877449036,0.3383437991142273,0.9779759645462036,0.49293720722198486,1.5767197325544657e-08,0.6800554394721985,0.8241533637046814,1.5478982452197292,60.0,True,0.93037109375
0.02,0.75,shufwrite,3,66.42645178463006,48.337763471632854,0.2723115239038346,18.088688312997206,18.714048385620117,0.0012369275791570544,0.0012214573798701167,0.0064697265625,0.9874930381774902,0.0467311255633831,0.20155279338359833,0.34094175696372986,0.9777194857597351,0.4955909252166748,1.588776576966211e-08,0.6789836883544922,0.8301077485084534,1.5500712072384804,60.0,True,0.93212890625
0.02,1.0,direct,0,72.59958438169863,48.52541337943316,0.3316020498918206,24.074171002265473,31.270292282104492,0.002016327576711774,0.002053562318906188,0.0106201171875,1.018466591835022,0.04736080765724182,0.20521622896194458,0.3516823649406433,0.9766911268234253,0.5064849853515625,1.638754376642737e-08,0.6937880516052246,0.8672540783882141,1.5555609689995102,60.0,True,0.9478515625
0.02,1.0,direct,1,51.810451785107794,40.30763928190835,0.2220172205969022,11.502812503199443,31.060409545898438,0.0020030145533382893,0.0020406178664416075,0.01068115234375,1.0187733173370361,0.04789046198129654,0.2065320909023285,0.35186028480529785,0.97674161195755,0.5056319236755371,1.6392569079926034e-08,0.6905617713928223,0.8676266074180603,1.5568175319598916,60.0,True,0.9462890625
0.02,1.0,direct,2,64.65783088580203,53.423485034340274,0.1737507382718071,11.234345851461754,30.883052825927734,0.0020000541117042303,0.0020217683631926775,0.0106201171875,1.0108568668365479,0.047518156468868256,0.204729363322258,0.3492070734500885,0.9769989848136902,0.5031708478927612,1.626332313264811e-08,0.6895339488983154,0.8599401116371155,1.5549883883438214,60.0,True,0.946484375
0.02,1.0,direct,3,76.92318241681328,48.43973123200651,0.37028435758764283,28.483451184806768,30.743480682373047,0.0019910463597625494,0.0020136625971645117,0.0106201171875,1.0113589763641357,0.04754061996936798,0.20498515665531158,0.3494621217250824,0.9769876003265381,0.5032138824462891,1.6271494374109352e-08,0.6858982443809509,0.8647148609161377,1.5576599720214948,60.0,True,0.94716796875
0.02,1.0,nocons,0,63.851503077864244,47.31749351031326,0.25894471970986255,16.53400956755098,30.57477569580078,0.001969769364222884,0.002014047233387828,0.0106201171875,1.022478699684143,0.048238568007946014,0.20782186090946198,0.353138267993927,0.9766368865966797,0.5064806938171387,1.6453409301675492e-08,0.7243219614028931,0.8791872262954712,1.5482894847378044,60.0,True,0.9513671875
0.02,1.0,nocons,1,44.74710285376853,39.799706070947686,0.11056351064757668,4.947396782820846,30.202970504760742,0.0019490033155307174,0.001988426549360156,0.0106201171875,1.0202274322509766,0.04860759526491165,0.20832380652427673,0.3520846366882324,0.9767383337020874,0.505250096321106,1.641641844685182e-08,0.719667375087738,0.8771923780441284,1.5493233681440846,60.0,True,0.94970703125
0.02,1.0,nocons,2,57.21752757897802,53.82734182366728,0.05925082573047614,3.390185755310739,30.00580406188965,0.0019430812681093812,0.0019700152333825827,0.0106201171875,1.0138614177703857,0.048529814928770065,0.20729473233222961,0.34993183612823486,0.9769718647003174,0.5028680562973022,1.631225998721675e-08,0.7193368673324585,0.8714823126792908,1.5478198425246885,60.0,True,0.949609375
0.02,1.0,nocons,3,69.40307853179426,47.754548725379955,0.31192463309097873,21.64852980641431,29.935420989990234,0.0019352476811036468,0.001969443866983056,0.01055908203125,1.0176701545715332,0.04846283048391342,0.20792792737483978,0.3513046205043793,0.9768288731575012,0.5043195486068726,1.6374496425441976e-08,0.7180522680282593,0.8770791888237,1.5498475909657268,60.0,True,0.95078125
0.02,1.0,shufwrite,0,64.22946077913203,47.25400510860647,0.26429391535606406,16.975455670525555,30.636064529418945,0.0019731633365154266,0.002018278930336237,0.0106201171875,1.022864580154419,0.04817591607570648,0.20775188505649567,0.3532801568508148,0.9766161441802979,0.5067269802093506,1.6459761553733188e-08,0.7243980169296265,0.8791550397872925,1.5482544129766782,60.0,True,0.95185546875
