fast_decay,lambda,variant,seed,pre,final_ppl,gain40,drop,w_fast_norm,abs_mean,abs_std,abs_max,cv,top1pct_mass,top5pct_mass,top10pct_mass,normalized_entropy,gini,hhi,ts_cos_stage1,ts_cos_stage2,ts_horizon,horizon_steps,horizon_censored,cos_lag1
0.001,1.0,direct,0,83.19018777690523,51.2436411811584,0.38401820514480967,31.94654659574683,91.46650695800781,0.005615788046270609,0.006410766858607531,0.031982421875,1.1415613889694214,0.051081255078315735,0.22423619031906128,0.3872727155685425,0.9721185564994812,0.5500730276107788,1.852631115184522e-08,0.7695736289024353,0.9344673156738281,1.548383135187047,120.0,True,0.9792258522727273
0.001,1.0,nocons,0,59.24285021806663,48.35319740244841,0.18381378977437052,10.88965281561822,90.29402923583984,0.005478670354932547,0.006292437203228474,0.031982421875,1.148533582687378,0.052458636462688446,0.22875529527664185,0.3911716043949127,0.9721247553825378,0.5489938259124756,1.8654748856761216e-08,0.7976986765861511,0.9407856464385986,1.5411527926819304,120.0,True,0.9797141335227273
0.001,1.0,shufwrite,0,61.19365842264931,48.337269356037936,0.21009348677628495,12.85638906661137,90.38363647460938,0.005492048803716898,0.006295946426689625,0.0322265625,1.1463748216629028,0.05230262130498886,0.2281126230955124,0.3904363214969635,0.9721852540969849,0.5485421419143677,1.8614896291069272e-08,0.7979400157928467,0.9406301975250244,1.541036646273799,120.0,True,0.9795365767045454
0.005,1.0,direct,0,74.63786399716919,48.25177273997078,0.3535215217064513,26.38609125719841,72.72076416015625,0.0044902837835252285,0.005091640632599592,0.0283203125,1.1339240074157715,0.05153414607048035,0.22194978594779968,0.3849075436592102,0.9723958373069763,0.5476428270339966,1.838651719765494e-08,0.7452206015586853,0.9149973392486572,1.551130858641189,120.0,True,0.9762961647727273
0.005,1.0,nocons,0,56.90117395428907,46.966588311724536,0.17459368501861447,9.934585642564535,70.30125427246094,0.0043430267833173275,0.004943308420479298,0.0279541015625,1.1382173299789429,0.05263920873403549,0.22594678401947021,0.38833871483802795,0.9724913239479065,0.5457823276519775,1.8464985984678606e-08,0.7774224877357483,0.9240710735321045,1.543094076032554,120.0,True,0.9771839488636364
0.005,1.0,shufwrite,0,57.274991473806075,46.9358508698297,0.18051754069146983,10.339140603976375,70.59403991699219,0.00435930909588933,0.004962816834449768,0.028076171875,1.1384410858154297,0.05244644731283188,0.22558912634849548,0.3882712721824646,0.9724526405334473,0.5462361574172974,1.8469084039907102e-08,0.7773575782775879,0.9246318340301514,1.543265326648793,120.0,True,0.9771395596590909
0.01,1.0,direct,0,67.34916364976132,46.75941868459982,0.3057164164982837,20.5897449651615,57.24993896484375,0.0035213849041610956,0.003972512669861317,0.021484375,1.1281108856201172,0.052056148648262024,0.22268962860107422,0.3836873769760132,0.9727271199226379,0.5443160533905029,1.828074758236653e-08,0.7208633422851562,0.8881111145019531,1.5519734081269279,120.0,True,0.9723011363636364
0.01,1.0,nocons,0,56.71963846617616,46.368539213807736,0.18249586090964123,10.35109925236842,54.37546157836914,0.0033519803546369076,0.0037909606471657753,0.021240234375,1.1309614181518555,0.05372167378664017,0.227379709482193,0.3867131173610687,0.9729534983634949,0.5409111976623535,1.833254614780344e-08,0.7567200660705566,0.901412844657898,1.5436312365707086,120.0,True,0.9730557528409091
0.01,1.0,shufwrite,0,56.71125988652814,46.56908870842872,0.17883875615517242,10.142171178099417,54.71101760864258,0.0033727064728736877,0.003811381757259369,0.0213623046875,1.1300662755966187,0.05334240570664406,0.2265682816505432,0.3863389790058136,0.9729368090629578,0.5412521362304688,1.83162640610135e-08,0.7569189071655273,0.9021682143211365,1.543773863733405,120.0,True,0.9732333096590909
0.02,1.0,direct,0,62.23092195954103,45.57774969829865,0.2676028530007849,16.653172261242375,36.398948669433594,0.002303455490618944,0.0025007463991642,0.01373291015625,1.0856499671936035,0.05052977427840233,0.21712356805801392,0.37233132123947144,0.9743884205818176,0.5286427736282349,1.7524637740962135e-08,0.6833114624023438,0.8364643454551697,1.5503866696196236,120.0,True,0.9622247869318182
0.02,1.0,nocons,0,54.804017147346784,46.1634476363102,0.15766306852662706,8.640569511036581,34.67173385620117,0.0021985722705721855,0.0023939446546137333,0.013671875,1.0888632535934448,0.052420876920223236,0.22202357649803162,0.3743581175804138,0.974564254283905,0.5256098508834839,1.7580845224074437e-08,0.7170087099075317,0.8476258516311646,1.5417404628960711,120.0,True,0.9633345170454546
0.02,1.0,shufwrite,0,54.86918808457888,46.433789568246645,0.1537365288389063,8.435398516332235,34.84394454956055,0.002209285506978631,0.0024045526515692472,0.0135498046875,1.088384747505188,0.052035439759492874,0.22127248346805573,0.3742764890193939,0.9745376110076904,0.5260523557662964,1.7572464372506147e-08,0.7173067927360535,0.8486448526382446,1.5419355413336528,120.0,True,0.9636896306818182
